created_at,source,original_text,polarity,subjectivity,lang,fav_count,retweet_count,screen_name,follower_count,friends_count,sensitivity,hashtags,mentions,location
Sun Aug 07 22:29:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndoPac_Info: Yesterday, #Taiwanese army forces in Kinmen island had to use flares &amp; lasers to warn off 3 #Chinese drones  that had ent…",0.0,0.0,en,0,74,Cyclorient,639,642,false,"[{'text': 'Taiwanese', 'indices': [29, 39]}, {'text': 'Chinese', 'indices': [114, 122]}]","[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': 844136511079559168, 'id_str': '844136511079559168', 'indices': [3, 16]}]",
Sun Aug 07 22:28:58 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CGMeifangZhang: ""#Taiwan is part of China. That's been absolutely accepted by the whole of international community... And if you don't…",0.13333333333333333,0.43333333333333335,en,0,109,arjlight,150,120,false,"[{'text': 'Taiwan', 'indices': [21, 28]}]","[{'screen_name': 'CGMeifangZhang', 'name': 'Zhang Meifang张美芳', 'id': 1222894323152195586, 'id_str': '1222894323152195586', 'indices': [3, 18]}]",
Sun Aug 07 22:28:54 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CGTNOfficial: Day 3 of PLA's live-fire drills around #Taiwan in 100 seconds https://t.co/kJsB27U8WC,0.0,0.0,en,0,26,kwame_seeker,45,419,false,"[{'text': 'Taiwan', 'indices': [57, 64]}]","[{'screen_name': 'CGTNOfficial', 'name': 'CGTN', 'id': 1115874631, 'id_str': '1115874631', 'indices': [3, 16]}]",
Sun Aug 07 22:28:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @euobs: [Opinion] #Pelosi's visit to #Taiwan was to honour her commitment to democracy, especially as Taiwan was ranked by Freedom House…",-0.375,1.0,en,0,4,Cyclorient,639,642,false,"[{'text': 'Pelosi', 'indices': [21, 28]}, {'text': 'Taiwan', 'indices': [40, 47]}]","[{'screen_name': 'euobs', 'name': 'EUobserver', 'id': 43317911, 'id_str': '43317911', 'indices': [3, 9]}]",
Sun Aug 07 22:28:34 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@apple @tim_cook REALLY?? 

https://t.co/vOGKGPq9r3

#Apple #Taiwan",0.2,0.2,en,0,0,rjj_jim,69,211,false,"[{'text': 'Apple', 'indices': [53, 59]}, {'text': 'Taiwan', 'indices': [60, 67]}]","[{'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [0, 6]}, {'screen_name': 'tim_cook', 'name': 'Tim Cook', 'id': 1636590253, 'id_str': '1636590253', 'indices': [7, 16]}]",
Sun Aug 07 22:28:32 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AndrewJBates46 #carriedInterest #LoisLerner #Pelosi  stock trades/options #liars Both parties are pathetic although the pro Marxism is definitely Democrats https://t.co/b1YL7cHLP0,-0.5,0.75,en,0,0,LarsonKellie,636,4002,false,"[{'text': 'carriedInterest', 'indices': [16, 32]}, {'text': 'LoisLerner', 'indices': [33, 44]}, {'text': 'Pelosi', 'indices': [45, 52]}, {'text': 'liars', 'indices': [75, 81]}]","[{'screen_name': 'AndrewJBates46', 'name': 'Andrew Bates', 'id': 1376877666226335745, 'id_str': '1376877666226335745', 'indices': [0, 15]}]",
Sun Aug 07 22:28:27 +0000 2022,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Taiwan is a city of China, that acts as a non-recognized country. Only 13 countries in the World recognized Taiwan as a sovereign country, USA are not in this short list. 

#WWIII #USandChina #Tradewar #China #geopolitics #IndoPacific #Taiwan #UnitedStates",0.0,0.65,en,0,0,robinholdings,4624,3,false,"[{'text': 'WWIII', 'indices': [173, 179]}, {'text': 'USandChina', 'indices': [180, 191]}, {'text': 'Tradewar', 'indices': [192, 201]}, {'text': 'China', 'indices': [202, 208]}, {'text': 'geopolitics', 'indices': [209, 221]}, {'text': 'IndoPacific', 'indices': [222, 234]}, {'text': 'Taiwan', 'indices': [235, 242]}, {'text': 'UnitedStates', 'indices': [243, 256]}]",[],
Sun Aug 07 22:28:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CGMeifangZhang: #US House Speaker Nancy #Pelosi and her family are now under scrutiny for several market trades. Her husband, Paul Pelo…",0.0,0.0,en,0,121,josearias3329,160,219,false,"[{'text': 'US', 'indices': [20, 23]}, {'text': 'Pelosi', 'indices': [44, 51]}]","[{'screen_name': 'CGMeifangZhang', 'name': 'Zhang Meifang张美芳', 'id': 1222894323152195586, 'id_str': '1222894323152195586', 'indices': [3, 18]}]",
Sun Aug 07 22:28:02 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CGMeifangZhang: Responding to a CNN reporter saying ""China is busy encircling #Taiwan” during an interview, Roger Waters, co-founder of…",0.1,0.3,en,0,128,MauricioLoren14,433,482,false,"[{'text': 'Taiwan', 'indices': [82, 89]}]","[{'screen_name': 'CGMeifangZhang', 'name': 'Zhang Meifang张美芳', 'id': 1222894323152195586, 'id_str': '1222894323152195586', 'indices': [3, 18]}]",
Sun Aug 07 22:27:54 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IndoPac_Info: #China's media explains the military reasons for each area of the drills in the #Taiwan Strait 

It's clear the drills ar…",6.938893903907228e-18,0.24166666666666664,en,0,112,kisdurka,117,316,false,"[{'text': 'China', 'indices': [18, 24]}, {'text': 'Taiwan', 'indices': [98, 105]}]","[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': 844136511079559168, 'id_str': '844136511079559168', 'indices': [3, 16]}]",
